,0,1
149,Ingenieria de Sistemas de Informacion,"Ingenieria de Sistemas de Informacion,ISI"
150,Programacion Web,"Programacion Web,PW"
151,Sistemas de Informacion para Empresas,"Sistemas de Informacion para Empresas,SIE"
152,Sistemas Multidimensionales,"Sistemas Multidimensionales,SMD"
153,Computacion Ubicua e Inteligencia Ambiental,"Computacion Ubicua e Inteligencia Ambiental,CUIA"
154,Servidores Web de Altas Prestaciones,"Servidores Web de Altas Prestaciones,SWAP"
155,Sistemas Multimedia,"Sistemas Multimedia,SMM"
156,Tecnologias Web,"Tecnologias Web,TW"
157,Transmision de Datos y Redes de Computadores,"Transmision de Datos y Redes de Computadores,TDRC"
158,Creacion de Empresas y Gestion Emprendedora,"Creacion de Empresas y Gestion Emprendedora,CEGE"
159,Derecho Informatico,"Derecho Informatico,DI"
160,"Ética, Informatica y Sociedad de la Informacion","Ética, Informatica y Sociedad de la Informacion,EISI"
161,Criptografia y Computacion,"Criptografia y Computacion,CRIP"
162,Programacion Ludica,"Programacion Ludica,PLD"
163,Robotica Industrial,"Robotica Industrial,RI"
164,Circuitos Integrados e Impresos,"Circuitos Integrados e Impresos,CII"
165,Controladores Logicos Programables,"Controladores Logicos Programables,CLP"
166,Mantenimiento de Equipos Informaticos,"Mantenimiento de Equipos Informaticos,MEI"
167,Animacion por Ordenador,"Animacion por Ordenador,AO"
168,Nuevas Tecnologias de la Programacion,"Nuevas Tecnologias de la Programacion,NTP"
169,Programacion Paralela,"Programacion Paralela,PPR"
170,Perifericos y Dispositivos de Interfaz Humana,"Perifericos y Dispositivos de Interfaz Humana,PDIH"
171,Sistemas Cooperativos y Gestion de Contenidos,"Sistemas Cooperativos y Gestion de Contenidos,SCGC"
172,Procesamiento Digital de Senales,"Procesamiento Digital de Senales,PDS"
173,Programacion de Dispositivos Moviles,"Programacion de Dispositivos Moviles,PDM"
174,Redes Multiservicio,"Redes Multiservicio,RMS"
