,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
123,GII,4,COMP,2,EISI,"Ética, Informatica y Sociedad de la Informacion","Martes, 20 de Junio"
124,GII,4,CSI,2,CRIP,Criptografia y Computacion,"Viernes, 16 de Junio"
125,GII,4,CSI,2,PLD,Programacion Ludica,"Martes, 13 de Junio"
126,GII,4,CSI,2,RI,Robotica Industrial,"Martes, 20 de Junio"
127,GII,4,IC,2,CII,Circuitos Integrados e Impresos,"Viernes, 16 de Junio"
128,GII,4,IC,2,CLP,Controladores Logicos Programables,"Martes, 13 de Junio"
129,GII,4,IC,2,MEI,Mantenimiento de Equipos Informaticos,"Martes, 20 de Junio"
130,GII,4,IS,2,AO,Animacion por Ordenador,"Viernes, 16 de Junio"
131,GII,4,IS,2,NTP,Nuevas Tecnologias de la Programacion,"Martes, 13 de Junio"
132,GII,4,IS,2,PPR,Programacion Paralela,"Martes, 20 de Junio"
133,GII,4,SI,2,PDIH,Perifericos y Dispositivos de Interfaz Humana,"Martes, 13 de Junio"
134,GII,4,SI,2,SCGC,Sistemas Cooperativos y Gestion de Contenidos,"Martes, 20 de Junio"
135,GII,4,TI,2,PDS,Procesamiento Digital de Senales,"Viernes, 16 de Junio"
136,GII,4,TI,2,PDM,Programacion de Dispositivos Moviles,"Martes, 13 de Junio"
137,GII,4,TI,2,RMS,Redes Multiservicio,"Martes, 20 de Junio"
