,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
99,Ingenieria de Tecnologias de Telecomunicacion,4,,1,TH,Tecnologias del Habla,"Martes, 7 de Febrero"
100,Ingenieria de Tecnologias de Telecomunicacion,1,,2,CCE,Componentes y circuitos electronicos,"Lunes, 19 de Junio"
101,Ingenieria de Tecnologias de Telecomunicacion,1,,2,ED,Ecuaciones diferencias y Caculo Numerico,"Viernes, 16 de Junio"
102,Ingenieria de Tecnologias de Telecomunicacion,1,,2,EO,Estadistica y Optimizacion,"Viernes, 23 de Junio"
103,Ingenieria de Tecnologias de Telecomunicacion,1,,2,FFI,Fundamentos Fisicos de la Ingenieria,"Miercoles, 21 de Junio"
104,Ingenieria de Tecnologias de Telecomunicacion,1,,2,SL,Sistemas Lineales,"Martes, 13 de Junio"
105,Ingenieria de Tecnologias de Telecomunicacion,2,,2,CI,Comunicaciones I,"Jueves, 22 de Junio"
106,Ingenieria de Tecnologias de Telecomunicacion,2,,2,EA,Electronica Analogica,"Miercoles, 14 de Junio"
107,Ingenieria de Tecnologias de Telecomunicacion,2,,2,ED,Electronica Digital,"Martes, 20 de Junio"
108,Ingenieria de Tecnologias de Telecomunicacion,2,,2,IR,Infraestructuras y redes de comunicaciones,"Lunes, 12 de Junio"
109,Ingenieria de Tecnologias de Telecomunicacion,2,,2,SD,Senales Digitales,"Viernes, 16 de Junio"
110,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,CERF,Circuitos electronicos para radiofrecuencia,"Martes, 13 de Junio"
111,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,DCSE,Diseno de circuitos y sistemas electronicos,"Lunes, 19 de Junio"
112,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,EM,Electronica de microondas,"Viernes, 16 de Junio"
113,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,IE,Instrumentacion electronica,"Miercoles, 21 de Junio"
114,Ingenieria de Tecnologias de Telecomunicacion,3,SE,2,SAL,Sistemas de alimentacion,"Viernes, 23 de Junio"
115,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,AP,Antenas y propagacion,"Martes, 13 de Junio"
116,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,MCO,Medios y componentes opticos para comunicaciones,"Lunes, 19 de Junio"
117,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,SCA,Sistemas de codificacion y almacenamiento,"Viernes, 16 de Junio"
118,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,SR,Sistemas de radiocomunicacion,"Miercoles, 21 de Junio"
119,Ingenieria de Tecnologias de Telecomunicacion,3,ST,2,TDS,Tratamiento digital de senales,"Viernes, 23 de Junio"
120,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,CP,Complementos de programacion,"Martes, 13 de Junio"
121,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,DAR,Desarrollo de aplicaciones en red,"Lunes, 19 de Junio"
122,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,GR,Gestion de redes,"Viernes, 16 de Junio"
123,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,RIM,Redes inalambricas y movilidad,"Miercoles, 21 de Junio"
124,Ingenieria de Tecnologias de Telecomunicacion,3,T,2,SRC,Seguridad en redes de comunicacion,"Viernes, 23 de Junio"
125,Ingenieria de Tecnologias de Telecomunicacion,4,,2,AET,Arquitecturas Especializadas en Telecomunicaciones,"Lunes, 12 de Junio"
126,Ingenieria de Tecnologias de Telecomunicacion,4,,2,CAM,Complementos de Analisis Matematico,"Jueves, 22 de Junio"
127,Ingenieria de Tecnologias de Telecomunicacion,4,,2,FAT,Fisica Aplicada a Telecomunicaciones,"Miercoles, 14 de Junio"
128,Ingenieria de Tecnologias de Telecomunicacion,4,,2,PVD,Procesamiento de Video Digital,"Martes, 20 de Junio"
129,Ingenieria de Tecnologias de Telecomunicacion,4,,2,PSETR,Programacion de Sistemas Empotrados y de Tiempo Real,"Viernes, 16 de Junio"
130,Ingenieria de Tecnologias de Telecomunicacion,1,,2,CCE,Componentes y circuitos electronicos,"Miercoles, 12 de Julio"
